result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:10.379798+00:00,44.5,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:14.127661+00:00,44.6,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:17.876101+00:00,44.5,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:21.620070+00:00,44.6,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:25.367775+00:00,44.6,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:29.113871+00:00,44.6,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:32.861865+00:00,44.5,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:36.608661+00:00,44.4,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:40.358557+00:00,44.4,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:44.102749+00:00,44.4,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:47.849812+00:00,44.5,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:51.597297+00:00,44.3,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
